"period_type","start_date","end_date","salesman_fio","chif_fio","sales_count","sales_sum","max_overcharge_item","max_overcharge_percent"
month,2018-11-01,2018-11-30,Алексеев Никита Карлович,Касатый Ника Федотовна,1,2066652,Раствор М100 Пк3,186.24
week,2018-11-19,2018-11-25,Алексеев Никита Карлович,Касатый Ника Федотовна,1,2066652,Раствор М100 Пк3,186.24
month,2018-12-01,2018-12-31,Алексеев Никита Карлович,Касатый Ника Федотовна,3,4692708,БСТ B35 П5 F1300 W12,234.31
week,2018-12-10,2018-12-16,Алексеев Никита Карлович,Касатый Ника Федотовна,1,660240,БСТ B25 П4 F1150 W8,44.47
week,2018-12-24,2018-12-30,Алексеев Никита Карлович,Касатый Ника Федотовна,2,4032468,БСТ B35 П5 F1300 W12,234.31
month,2019-01-01,2019-01-31,Алексеев Никита Карлович,Касатый Ника Федотовна,5,3618611,БСТ B35 П5 F1300 W12,62.61
week,2019-01-07,2019-01-13,Алексеев Никита Карлович,Касатый Ника Федотовна,1,904579,БСТ B35 П5 F1300 W12,62.61
week,2019-01-14,2019-01-20,Алексеев Никита Карлович,Касатый Ника Федотовна,2,1463382,БСТ B25 П4 F1200 W10,50.36
week,2019-01-21,2019-01-27,Алексеев Никита Карлович,Касатый Ника Федотовна,2,1250650,"Мелкозернистый бетон БСМ B25 П3,П4",55.41
month,2019-03-01,2019-03-31,Алексеев Никита Карлович,Касатый Ника Федотовна,1,618298,БСТ B30 П4 F1200 W10,12.42
week,2019-03-11,2019-03-17,Алексеев Никита Карлович,Касатый Ника Федотовна,1,618298,БСТ B30 П4 F1200 W10,12.42
month,2019-04-01,2019-04-30,Алексеев Никита Карлович,Касатый Ника Федотовна,3,1814883,Пусковая смесь,38.44
week,2019-04-08,2019-04-14,Алексеев Никита Карлович,Касатый Ника Федотовна,1,453288,Раствор кладочный М100 Пк3,10.59
week,2019-04-22,2019-04-28,Алексеев Никита Карлович,Касатый Ника Федотовна,1,949008,Пусковая смесь,38.44
week,2019-04-29,2019-05-05,Алексеев Никита Карлович,Касатый Ника Федотовна,2,1128965,БСТ B35 П5 F1300 W12,18.00
month,2019-05-01,2019-05-31,Алексеев Никита Карлович,Касатый Ника Федотовна,4,2524779,БСТ B35 П5 F1300 W12,38.00
week,2019-05-06,2019-05-12,Алексеев Никита Карлович,Касатый Ника Федотовна,1,693450,"БСТ B20 П3,П4",38.00
week,2019-05-20,2019-05-26,Алексеев Никита Карлович,Касатый Ника Федотовна,1,522001,"Мелкозернистый бетон БСМ B22,5 П3,П4",9.00
week,2019-05-27,2019-06-02,Алексеев Никита Карлович,Касатый Ника Федотовна,1,592950,"БСТ B20 П3,П4",18.00
month,2019-06-01,2019-06-30,Алексеев Никита Карлович,Касатый Ника Федотовна,1,47140,Фасовка,48.80
week,2019-06-17,2019-06-23,Алексеев Никита Карлович,Касатый Ника Федотовна,1,47140,Фасовка,48.80
month,2019-07-01,2019-07-31,Алексеев Никита Карлович,Касатый Ника Федотовна,4,2307701,БСТ B40 П5 F1300 W14,37.00
week,2019-07-15,2019-07-21,Алексеев Никита Карлович,Касатый Ника Федотовна,2,1000566,Раствор кладочный М150 Пк3,30.00
week,2019-07-29,2019-08-04,Алексеев Никита Карлович,Касатый Ника Федотовна,3,1878295,БСТ B40 П5 F1300 W14,37.00
month,2019-08-01,2019-08-31,Алексеев Никита Карлович,Касатый Ника Федотовна,2,1481810,БСТ B35 П5 F1300 W12,50.00
week,2019-08-12,2019-08-18,Алексеев Никита Карлович,Касатый Ника Федотовна,1,910650,БСТ B35 П5 F1300 W12,50.00
month,2019-09-01,2019-09-30,Алексеев Никита Карлович,Касатый Ника Федотовна,1,718734,Пусковая смесь,3.00
week,2019-09-30,2019-10-06,Алексеев Никита Карлович,Касатый Ника Федотовна,1,718734,Пусковая смесь,3.00
month,2019-10-01,2019-10-31,Алексеев Никита Карлович,Касатый Ника Федотовна,4,2676993,Пусковая смесь,37.00
week,2019-10-07,2019-10-13,Алексеев Никита Карлович,Касатый Ника Федотовна,1,491940,Раствор М200 Пк3,8.00
week,2019-10-14,2019-10-20,Алексеев Никита Карлович,Касатый Ника Федотовна,1,582552,"БСТ B12,5 П3,П4",24.00
week,2019-10-28,2019-11-03,Алексеев Никита Карлович,Касатый Ника Федотовна,2,1602501,Пусковая смесь,37.00
month,2019-11-01,2019-11-30,Алексеев Никита Карлович,Касатый Ника Федотовна,4,2625699,БСТ B40 П5 F1300 W14,47.00
week,2019-11-04,2019-11-10,Алексеев Никита Карлович,Касатый Ника Федотовна,2,1308865,Раствор М200 Пк3,47.00
week,2019-11-18,2019-11-24,Алексеев Никита Карлович,Касатый Ника Федотовна,1,576660,"БСТ B 7,5 П3,П4",40.00
week,2019-11-25,2019-12-01,Алексеев Никита Карлович,Касатый Ника Федотовна,1,740174,БСТ B40 П5 F1300 W14,22.00
month,2019-12-01,2019-12-31,Алексеев Никита Карлович,Касатый Ника Федотовна,1,690864,"БСТ B15 П3,П4",48.00
week,2019-12-02,2019-12-08,Алексеев Никита Карлович,Касатый Ника Федотовна,1,690864,"БСТ B15 П3,П4",48.00
week,2019-12-30,2020-01-05,Алексеев Никита Карлович,Касатый Ника Федотовна,1,874950,БСТ B30 П4 F1200 W10,50.00
month,2020-01-01,2020-01-31,Алексеев Никита Карлович,Касатый Ника Федотовна,2,1660950,БСТ B30 П4 F1200 W10,50.00
month,2020-01-01,2020-01-31,Алексеев Никита Карлович,Касатый Ника Федотовна,2,1660950,БСТ B30 П4 F1200 W10,50.00
week,2020-01-06,2020-01-12,Алексеев Никита Карлович,Касатый Ника Федотовна,1,786000,БСТ B25 П4 F1150 W8,50.00
week,2020-01-27,2020-02-02,Алексеев Никита Карлович,Касатый Ника Федотовна,1,1949024,Раствор кладочный М150 Пк3,126.00
month,2020-02-01,2020-02-29,Алексеев Никита Карлович,Касатый Ника Федотовна,1,1949024,Раствор кладочный М150 Пк3,126.00
month,2018-11-01,2018-11-30,Галиаскаров Харитон Ипатиевич,Коченкова Розалия Федоровна,1,787776,БСТ B45 П5 F1300 W16,40.93
week,2018-11-26,2018-12-02,Галиаскаров Харитон Ипатиевич,Коченкова Розалия Федоровна,1,787776,БСТ B45 П5 F1300 W16,40.93
month,2018-12-01,2018-12-31,Галиаскаров Харитон Ипатиевич,Коченкова Розалия Федоровна,3,1900408,БСТ B45 П5 F1300 W16,56.53
week,2018-12-10,2018-12-16,Галиаскаров Харитон Ипатиевич,Коченкова Розалия Федоровна,2,1224204,БСТ B45 П5 F1300 W16,31.32
week,2018-12-17,2018-12-23,Галиаскаров Харитон Ипатиевич,Коченкова Розалия Федоровна,1,676204,"Мелкозернистый бетон БСМ B25 П3,П4",56.53
month,2019-01-01,2019-01-31,Галиаскаров Харитон Ипатиевич,Коченкова Розалия Федоровна,1,47549,Упаковка европалет,56.00
week,2019-01-28,2019-02-03,Галиаскаров Харитон Ипатиевич,Коченкова Розалия Федоровна,1,47549,Упаковка европалет,56.00
month,2019-02-01,2019-02-28,Галиаскаров Харитон Ипатиевич,Коченкова Розалия Федоровна,3,1270039,БСТ B35 П5 F1200 W12,80.00
week,2019-02-25,2019-03-03,Галиаскаров Харитон Ипатиевич,Коченкова Розалия Федоровна,3,1270039,БСТ B35 П5 F1200 W12,80.00
month,2019-03-01,2019-03-31,Галиаскаров Харитон Ипатиевич,Коченкова Розалия Федоровна,4,1531857,"Мелкозернистый бетон БСМ B15 П3,П4",60.80
week,2019-03-04,2019-03-10,Галиаскаров Харитон Ипатиевич,Коченкова Розалия Федоровна,1,552083,"Мелкозернистый бетон БСМ B15 П3,П4",34.52
week,2019-03-25,2019-03-31,Галиаскаров Харитон Ипатиевич,Коченкова Розалия Федоровна,3,979774,"Мелкозернистый бетон БСМ B25 П3,П4",60.80
